reporting_date,portfolio,expected_losses
2010-07-31,cc,0.0262491
2010-08-31,cc,0.0195129
2010-09-30,cc,0.0296201
2010-10-31,cc,0.0321982
2010-11-30,cc,0.0318333
2010-12-31,cc,0.0261735
2011-01-31,cc,0.0229582
2011-02-28,cc,0.0297
2011-03-31,cc,0.0256
2011-04-30,cc,0.0310002
2011-05-31,cc,0.0183879
2011-06-30,cc,0.0248
2011-07-31,cc,0.0181201
2011-08-31,cc,0.0247089
2011-09-30,cc,0.0311882
2011-10-31,cc,0.0310085
2011-11-30,cc,0.0185747
2011-12-31,cc,0.02207
2012-01-31,cc,0.025515
2012-02-29,cc,0.0314152
2012-03-31,cc,0.0305352
2012-04-30,cc,0.0295431
2012-05-31,cc,0.0263278
2012-06-30,cc,0.0257423
2012-07-31,cc,0.0226615
2012-08-31,cc,0.0257635
2012-09-30,cc,0.0227658
2012-10-31,cc,0.0222832
2012-11-30,cc,0.027988
2012-12-31,cc,0.0285075
2013-01-31,cc,0.0175134
2013-02-28,cc,0.0233166
2013-03-31,cc,0.0196878
2013-04-30,cc,0.0166562
2013-05-31,cc,0.0166186
2013-06-30,cc,0.0243969
2013-07-31,cc,0.0268334
2013-08-31,cc,0.0162035
2013-09-30,cc,0.0217539
2013-10-31,cc,0.0242824
2013-11-30,cc,0.0263571
2013-12-31,cc,0.0271789
2014-01-31,cc,0.0281535
2014-02-28,cc,0.0227479
2014-03-31,cc,0.0282242
2014-04-30,cc,0.0221796
2014-05-31,cc,0.0168191
2014-06-30,cc,0.0220233
2014-07-31,cc,0.0193124
2014-08-31,cc,0.028601
2014-09-30,cc,0.0199397
2014-10-31,cc,0.0279664
2014-11-30,cc,0.027388
2014-12-31,cc,0.0165641
2015-01-31,cc,0.0222824
2015-02-28,cc,0.019363
2015-03-31,cc,0.0241232
2015-04-30,cc,0.0262519
2015-05-31,cc,0.0227448
2015-06-30,cc,0.0148055
2015-07-31,cc,0.0221614
2015-08-31,cc,0.0171049
2015-09-30,cc,0.0170679
2015-10-31,cc,0.0240338
2015-11-30,cc,0.0141548
2015-12-31,cc,0.0167296
2016-01-31,cc,0.0146335
2016-02-29,cc,0.0241515
2016-03-31,cc,0.0144856
2016-04-30,cc,0.0140557
2016-05-31,cc,0.0164434
2016-06-30,cc,0.0234703
2016-07-31,cc,0.0212383
2016-08-31,cc,0.0186673
2016-09-30,cc,0.0212039
2016-10-31,cc,0.0189052
2016-11-30,cc,0.0141765
2016-12-31,cc,0.0220442
2017-01-31,cc,0.0222126
2017-02-28,cc,0.0218405
2017-03-31,cc,0.0168111
2017-04-30,cc,0.0139184
2017-05-31,cc,0.01874
2017-06-30,cc,0.0139754
2017-07-31,cc,0.0232953
2017-08-31,cc,0.0163959
2017-09-30,cc,0.0190318
2017-10-31,cc,0.0141788
2017-11-30,cc,0.0208525
2017-12-31,cc,0.0142695
2018-01-31,cc,0.0191507
2018-02-28,cc,0.0165181
2018-03-31,cc,0.0191606
2018-04-30,cc,0.0250231
2018-05-31,cc,0.0211061
2018-06-30,cc,0.0162
2018-07-31,cc,0.0182
2018-08-31,cc,0.02
2018-09-30,cc,0.015
2018-10-31,cc,0.0138
2018-11-30,cc,0.0154
2018-12-31,cc,0.0161
2019-01-31,cc,0.0138
2019-02-28,cc,0.0184
2019-03-31,cc,0.022
2019-04-30,cc,0.0168
2019-05-31,cc,0.018
2019-06-30,cc,0.0171
2019-07-31,cc,0.0126
2019-08-31,cc,0.0126
2019-09-30,cc,0.018
2019-10-31,cc,0.0119
2019-11-30,cc,0.0136
2019-12-31,cc,0.0136
2020-01-31,cc,0.0153
2020-02-29,cc,0.0096
2020-03-31,cc,0.009
2020-04-30,cc,0.0135
2020-05-31,cc,0.009
2020-06-30,cc,0.0098
2020-07-31,cc,0.0126
2020-08-31,cc,0.0084
