Reporting_Date,Portfolio,Lender_Type,Insurance_Status,Dimension,Category,Total_Loan_Value_Originated
2019-09-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,424255000
2019-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2019-09-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,898089000
2019-09-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2920069000
2019-09-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,61394000
2019-09-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1529865000
2019-09-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,6512918000
2019-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2019-09-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2019-06-30,mtg,Chartered Bank,Insured,Credit Score Range,750 or greater,5618613000
2019-06-30,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,2664690000
2019-06-30,mtg,Chartered Bank,Insured,Credit Score Range,No Score,1227346000
2019-06-30,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,421027000
2019-06-30,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,54849000
2019-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,600 < 649,
2019-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,750 or greater,
2019-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,650 < 699,
2019-06-30,mtg,Chartered Bank,Insured,Credit Score Range,650 < 699,1430442000
2019-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,
2019-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,
2019-06-30,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,
2019-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,0 < 599,622301000
2019-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,No Score,2191982000
2019-03-31,mtg,Chartered Bank,Insured,Credit Score Range,0 < 599,
2019-03-31,mtg,Chartered Bank,Uninsured,Credit Score Range,700 < 749,5109390000
2019-03-31,mtg,Chartered Bank,Insured,Credit Score Range,600 < 649,
2019-03-31,mtg,Chartered Bank,Insured,Credit Score Range,700 < 749,
